gene,direction
PE5,down
PPE20,down
PPE3,down
PPE4,down
Rv0080,down
Rv0081,down
Rv0281,down
Rv0474,down
Rv0968,down
Rv0986,down
Rv1184c,down
Rv1286,down
Rv1303,down
Rv1393c,down
Rv1670,down
Rv1815,down
Rv1957,down
Rv1996,down
Rv2028c,down
Rv2030c,down
Rv2059,down
Rv2076c,down
Rv2624c,down
Rv2625c,down
Rv2628,down
Rv2629,down
Rv2630,down
Rv2631,down
Rv2990c,down
Rv3060c,down
Rv3127,down
Rv3131,down
Rv3134c,down
Rv3160c,down
Rv3741c,down
Rv3749c,down
acg,down
adhD,down
bfrB,down
csoR,down
ctpF,down
cydA,down
cyp132,down
devR,down
dosT,down
eccA3,down
eccB3,down
eccC3,down
eccD3,down
espG3,down
esxG,down
esxH,down
fadD26,down
fdxD,down
hbhA,down
higB,down
hrp1,down
icl1,down
iniA,down
iniB,down
lppE,down
mycP3,down
nadA,down
narK2,down
narX,down
ncRv0404c,down
ncRv10666,down
ncRv1199,down
nrdB,down
pfkB,down
rpfC,down
rpmB2,down
sORF_104,down
sORF_260,down
serV,down
tgs1,down
vapB1,down
vapB48,down
whiB3,down